Item,Job #
7,380070
8,380105
12,380105
20,371024
21,371024
23,371005
24,371005
25,371005
26,380008
26,371122
26,371005
27,380008
27,371122
27,371005
28,380008
28,371122
28,371005
29,380008
29,371122
29,371005
30,380008
30,371122
30,371005
31,380008
31,371122
31,371005
32,371005
33,371005
34,371005
35,380077
35,380076
35,380074
35,371037
36,380077
36,380076
36,380074
36,371037
36,380866
37,380077
37,380076
37,380074
37,371037
38,371035
39,371035
39,380233
40,380077
40,380076
40,380074
40,371037
41,371035
43,371038
43,371123
43,380231
44,371038
44,371123
45,371038
45,371123
46,371038
46,371123
46,380231
47,371039
47,380232
48,371039
48,380233
49,371038
49,371123
49,380232
50,371035
50,380231
51,371035
51,380233
52,371035
53,371039
54,371039
55,371038
55,371123
56,371038
56,371123
56,380233
57,371038
57,371123
57,380233
58,371038
58,371123
58,380233
59,371040
59,380231
60,371039
61,371038
61,371123
62,371039
63,371038
63,371123
64,371038
64,371123
64,380232
65,371038
65,371123
65,380232
66,371038
66,371123
67,371038
67,371123
68,371007
69,371038
69,371123
70,371038
70,371123
81,380014
81,380095
81,371012
81,380312
81,380462
81,390560
81,391329
81,391959
81,392170
81,392414
83,380014
83,380095
83,371012
83,380312
83,380462
83,390560
83,391329
83,391959
83,392170
83,392414
84,380014
84,380095
84,371012
84,380312
84,380462
84,390560
84,391329
84,391959
84,392170
84,392414
85,380014
85,380095
85,371012
85,391329
85,391959
86,380014
86,380095
86,371012
86,391329
86,391959
87,380014
87,380095
87,371012
87,391329
87,391959
88,380014
88,371012
89,380014
89,371012
90,380014
90,371012
94,371013
95,371013
96,371013
102,380027
102,371015
103,380027
103,371015
104,371015
105,371015
106,371040
106,380233
107,371040
108,371039
109,371035
109,380231
110,371035
110,380232
111,371039
112,371035
112,380233
113,371040
114,371035
114,380231
115,371035
115,380232
116,371035
117,371035
117,380233
118,371036
118,380232
119,371038
119,371123
120,371036
121,371038
121,371123
122,371035
123,371036
123,380232
125,371038
125,371123
125,371079
125,380233
126,371038
126,371123
127,371036
128,371038
128,371123
129,371038
129,371123
130,371038
130,371123
131,371038
131,371123
132,371038
132,371123
133,371038
133,371123
134,371038
134,371123
135,371035
136,371035
137,371040
138,371040
139,371035
140,371035
141,371035
142,371035
143,371039
144,371039
145,371039
146,371039
153,371031
153,371030
154,371033
155,380188
156,371041
157,371041
158,371041
172,380131
174,380131
175,380131
176,380131
177,380131
178,380131
186,370965
187,370965
188,370965
189,370965
190,370965
191,370965
192,380131
197,380090
200,371061
201,371087
202,371088
203,371089
204,371089
205,371089
206,371089
207,371090
208,371091
209,371090
210,371090
210,380608
211,371091
211,380608
212,371102
213,371102
214,371063
215,371063
216,371094
217,371065
217,380199
218,371065
218,380199
219,371065
219,380199
220,371065
220,380199
221,371064
222,380010
223,380010
223,371052
224,380010
224,371052
224,380221
224,380323
224,380765
224,381428
224,390057
224,390462
224,390757
224,391212
224,391598
224,391968
224,400137
224,400597
224,400876
224,401039
224,401122
224,401456
224,401614
224,401827
225,380010
226,380010
226,371052
226,380765
226,381191
226,390057
226,390757
226,391430
226,400137
226,400876
226,401614
226,401827
227,380010
227,371052
228,380010
229,380142
229,371052
229,381716
230,380765
230,381716
231,371052
231,381191
231,390757
231,391598
231,400137
231,400876
232,371052
232,380221
232,380323
232,380442
232,380765
232,381042
233,380142
233,380010
233,371052
233,380323
233,380442
233,380765
233,381191
233,381428
233,381716
233,390057
233,390757
233,391212
233,391430
233,391598
233,391968
234,371053
234,380909
234,381009
234,390298
234,390750
235,371111
236,380063
236,371111
236,380181
237,380182
238,371061
239,371061
239,380282
241,371061
241,380283
242,371048
243,371048
245,371110
245,380324
247,371110
247,380180
247,380088
248,380179
248,371093
249,371085
250,371085
251,371084
252,371084
253,371112
253,371049
254,371049
255,371112
255,371051
263,371110
264,371097
265,380183
265,371104
265,380296
265,380766
265,381578
265,390192
265,390675
265,390968
265,391990
265,392262
265,400197
265,402158
265,410285
265,410374
265,410753
265,411323
266,371106
266,380297
266,390193
266,391135
266,402157
266,410381
267,371107
267,380298
268,371107
268,380298
269,371107
269,380298
269,380767
270,371081
270,371086
270,380193
275,371129
276,371129
277,371129
278,371129
279,371040
280,371094
281,371094
282,371094
283,371094
284,371115
284,380325
285,371118
286,371008
287,371008
288,371008
289,380011
289,400140
290,380011
290,380768
290,400140
291,380011
291,380300
291,380768
293,380290
295,380290
299,371113
300,371113
302,380089
302,371113
302,380245
303,380018
305,380170
305,371101
305,380448
305,381044
306,371101
306,380448
306,381044
306,381601
307,380171
307,371101
307,380242
307,380310
307,380159
307,380448
307,381044
307,381064
307,381206
307,381264
307,401517
307,412061
308,371101
308,380242
308,380159
308,380448
308,381206
308,381264
309,371101
309,380242
309,380159
309,380448
309,381264
310,371101
310,380087
310,380041
311,371101
311,380087
311,380041
312,371101
312,380310
312,380159
312,380448
312,381064
312,381264
313,371101
313,380310
313,380159
313,380448
313,381064
313,381080
313,381264
313,381601
314,380094
314,371096
314,380249
314,380314
314,380406
314,380776
314,380789
315,380094
315,371096
315,380249
315,380343
315,380406
317,371101
317,380087
317,380242
317,380041
317,380623
318,380094
318,371096
318,380249
323,380309
323,371099
323,380460
323,381589
324,380309
324,371099
324,380460
324,381589
325,380046
325,380160
325,380171
325,380309
325,371099
325,380201
325,380223
325,380460
325,380624
325,380891
325,381068
325,381263
325,381396
325,381589
325,390960
325,391218
325,400006
325,410090
325,411625
325,421204
326,380046
326,380160
326,380309
326,371099
326,380223
326,380460
326,380624
326,380891
326,381263
326,381396
327,380046
327,380309
327,380160
327,371099
327,380223
327,380460
327,380624
327,380891
327,381080
327,381263
327,381396
327,381601
328,380046
328,380160
328,371099
328,380223
328,380460
328,380624
329,380046
329,380160
329,371099
329,380223
329,380460
329,380624
330,380046
330,371099
330,380223
330,380624
330,381068
330,381396
331,380046
331,371099
331,380223
331,380624
331,381068
331,381080
331,381396
332,380046
332,380160
332,371099
333,380046
333,380160
333,371099
334,380091
334,371099
335,380091
335,371099
336,371099
336,380223
337,371099
337,380223
339,380091
339,371099
339,380223
340,380046
340,380160
340,371099
340,380223
340,380460
340,380624
341,380175
341,380315
341,380406
341,380776
341,380789
341,380888
341,381046
341,381212
341,390048
341,390911
342,380175
342,380094
342,380315
342,380406
342,380776
342,380789
342,381046
342,390911
343,380175
343,380094
343,380315
