Date,Customer,Job #,Item,AQL Shift,Inspection Station (Gluer),Total Pieces,Defect Code,Defect Description,Defective Samples,Total Samples,Total Estimated Defective,Department of Origin,Machine of Origin
9/29/2021,Titleist,411647,8607,1,2,300,P6,Coating,5,20,75,PRINTING ,KBA RAPIDA130 P3 
9/29/2021,Titleist,411647,8607,1,2,300,P6,Coating,2,20,30,PRINTING ,KBA RAPIDA130 P3 
9/29/2021,Titleist,411647,8607,1,2,300,P6,Coating,2,20,30,PRINTING ,KBA RAPIDA130 P3 
9/29/2021,Titleist,411647,8607,1,2,300,P3,Marks,5,20,75,PRINTING ,KBA RAPIDA130 P3 
9/29/2021,Titleist,411647,8607,1,2,300,,Peeling,14,20,210,Other,BOBST 130ER DC3 
9/29/2021,Titleist,411647,8607,1,4,900,P7,Dry up,5,20,225,PRINTING ,KBA RAPIDA130 P3 
9/29/2021,Titleist,411647,8607,1,4,900,P7,Dryup,5,20,225,PRINTING ,KBA RAPIDA130 P3 
9/29/2021,Titleist,411647,8607,1,4,900,P7,Dryup,5,20,225,PRINTING ,KBA RAPIDA130 P3 
9/29/2021,Titleist,411647,8607,1,4,900,P7,Dryup,5,20,225,PRINTING ,KBA RAPIDA130 P3 
9/29/2021,Titleist,411647,8607,1,4,900,P7,Dryup,5,20,225,PRINTING ,KBA RAPIDA130 P3 
9/30/2021,Titleist,411647,8607,1,4,900,P8,Dryup,5,32,141,PRINTING ,KBA RAPIDA130 P3 
9/30/2021,Titleist,411647,8607,1,4,900,P8,Dryup,5,32,141,PRINTING ,KBA RAPIDA130 P3 
9/30/2021,Titleist,411647,8607,1,4,900,P8,Dryup,5,32,141,PRINTING ,KBA RAPIDA130 P3 
9/30/2021,Titleist,411647,8607,1,4,900,P8,Dryup,5,32,141,PRINTING ,KBA RAPIDA130 P3 
9/30/2021,Titleist,411647,8607,1,4,900,P8,Dryup,5,32,141,PRINTING ,KBA RAPIDA130 P3 
9/30/2021,Titleist,411647,8607,1,4,900,P8,Dryup,5,32,141,PRINTING ,KBA RAPIDA130 P3 
9/30/2021,Titleist,411647,8607,1,4,900,P8,Dryup,5,32,141,PRINTING ,KBA RAPIDA130 P3 
9/30/2021,Titleist,411647,8607,1,4,900,P8,Dryup,5,32,141,PRINTING ,KBA RAPIDA130 P3 
9/30/2021,Titleist,411647,8607,1,4,900,P8,Dryup,5,32,141,PRINTING ,KBA RAPIDA130 P3 
9/30/2021,Titleist,411647,8607,1,4,900,P8,Dryup,5,32,141,PRINTING ,KBA RAPIDA130 P3 
9/30/2021,Titleist,411647,8607,1,4,900,P8,Dryup,5,32,141,PRINTING ,KBA RAPIDA130 P3 
9/30/2021,Titleist,411647,8607,1,4,900,P8,Dryup,5,32,141,PRINTING ,KBA RAPIDA130 P3 
9/30/2021,Titleist,411647,8607,1,4,900,P8,Dryup,5,32,141,PRINTING ,KBA RAPIDA130 P3 
