Date,Customer,Job #_y,Item_y,AQL Shift,Inspection Station (Gluer),Total Pieces,Defect Code,Defect Description,Defective Samples,Total Samples,Total Estimated Defective,Department of Origin,Machine of Origin
,,401039,224.0,,,,,,,,0.0,,
,,401122,224.0,,,,,,,,0.0,,
,,401456,224.0,,,,,,,,0.0,,
,,401614,224.0,,,,,,,,0.0,,
,,401827,224.0,,,,,,,,0.0,,
,,401614,226.0,,,,,,,,0.0,,
,,401827,226.0,,,,,,,,0.0,,
,,402158,265.0,,,,,,,,0.0,,
,,410285,265.0,,,,,,,,0.0,,
,,410374,265.0,,,,,,,,0.0,,
,,410753,265.0,,,,,,,,0.0,,
,,411323,265.0,,,,,,,,0.0,,
,,402157,266.0,,,,,,,,0.0,,
,,410381,266.0,,,,,,,,0.0,,
,,401517,307.0,,,,,,,,0.0,,
,,412061,307.0,,,,,,,,0.0,,
,,410090,325.0,,,,,,,,0.0,,
,,411625,325.0,,,,,,,,0.0,,
,,421204,325.0,,,,,,,,0.0,,
,,410655,344.0,,,,,,,,0.0,,
,,410655,345.0,,,,,,,,0.0,,
,,410655,346.0,,,,,,,,0.0,,
,,400969,397.0,,,,,,,,0.0,,
,,401880,397.0,,,,,,,,0.0,,
,,401972,397.0,,,,,,,,0.0,,
,,410043,397.0,,,,,,,,0.0,,
,,410179,397.0,,,,,,,,0.0,,
,,410393,397.0,,,,,,,,0.0,,
,,411131,397.0,,,,,,,,0.0,,
,,411319,397.0,,,,,,,,0.0,,
,,401199,398.0,,,,,,,,0.0,,
,,410864,398.0,,,,,,,,0.0,,
,,411502,400.0,,,,,,,,0.0,,
,,420035,400.0,,,,,,,,0.0,,
,,400974,430.0,,,,,,,,0.0,,
,,401587,436.0,,,,,,,,0.0,,
,,401587,439.0,,,,,,,,0.0,,
,,401587,442.0,,,,,,,,0.0,,
,,400925,476.0,,,,,,,,0.0,,
,,401292,476.0,,,,,,,,0.0,,
,,401885,476.0,,,,,,,,0.0,,
,,400926,478.0,,,,,,,,0.0,,
,,401293,478.0,,,,,,,,0.0,,
,,401886,478.0,,,,,,,,0.0,,
,,401067,504.0,,,,,,,,0.0,,
,,401250,504.0,,,,,,,,0.0,,
,,401090,505.0,,,,,,,,0.0,,
,,401393,505.0,,,,,,,,0.0,,
,,401927,505.0,,,,,,,,0.0,,
,,410694,505.0,,,,,,,,0.0,,
,,410865,505.0,,,,,,,,0.0,,
,,421014,505.0,,,,,,,,0.0,,
,,421392,505.0,,,,,,,,0.0,,
,,400972,508.0,,,,,,,,0.0,,
,,401195,508.0,,,,,,,,0.0,,
,,401335,508.0,,,,,,,,0.0,,
,,401668,508.0,,,,,,,,0.0,,
,,410163,508.0,,,,,,,,0.0,,
,,410377,508.0,,,,,,,,0.0,,
,,410892,508.0,,,,,,,,0.0,,
,,411773,508.0,,,,,,,,0.0,,
,,401195,510.0,,,,,,,,0.0,,
,,401335,510.0,,,,,,,,0.0,,
,,401414,510.0,,,,,,,,0.0,,
,,401668,510.0,,,,,,,,0.0,,
,,410163,510.0,,,,,,,,0.0,,
,,410892,510.0,,,,,,,,0.0,,
,,411141,510.0,,,,,,,,0.0,,
,,411439,510.0,,,,,,,,0.0,,
,,411448,510.0,,,,,,,,0.0,,
,,411456,510.0,,,,,,,,0.0,,
,,400970,523.0,,,,,,,,0.0,,
,,401194,523.0,,,,,,,,0.0,,
,,401334,523.0,,,,,,,,0.0,,
,,401669,523.0,,,,,,,,0.0,,
,,402138,523.0,,,,,,,,0.0,,
,,410161,523.0,,,,,,,,0.0,,
,,410634,523.0,,,,,,,,0.0,,
,,410894,523.0,,,,,,,,0.0,,
,,411413,523.0,,,,,,,,0.0,,
,,420184,523.0,,,,,,,,0.0,,
,,420355,523.0,,,,,,,,0.0,,
,,420549,523.0,,,,,,,,0.0,,
,,420608,523.0,,,,,,,,0.0,,
,,421429,523.0,,,,,,,,0.0,,
,,400976,544.0,,,,,,,,0.0,,
,,400972,548.0,,,,,,,,0.0,,
,,401191,548.0,,,,,,,,0.0,,
,,401331,548.0,,,,,,,,0.0,,
,,410891,548.0,,,,,,,,0.0,,
,,420610,548.0,,,,,,,,0.0,,
,,421428,548.0,,,,,,,,0.0,,
,,401294,562.0,,,,,,,,0.0,,
,,401887,562.0,,,,,,,,0.0,,
,,411591,562.0,,,,,,,,0.0,,
,,401295,564.0,,,,,,,,0.0,,
,,401888,564.0,,,,,,,,0.0,,
,,411590,564.0,,,,,,,,0.0,,
,,401516,616.0,,,,,,,,0.0,,
,,402129,625.0,,,,,,,,0.0,,
,,402024,645.0,,,,,,,,0.0,,
,,402028,647.0,,,,,,,,0.0,,
,,400949,653.0,,,,,,,,0.0,,
,,401244,653.0,,,,,,,,0.0,,
,,401518,653.0,,,,,,,,0.0,,
,,401734,653.0,,,,,,,,0.0,,
,,410363,653.0,,,,,,,,0.0,,
,,420357,653.0,,,,,,,,0.0,,
,,400949,654.0,,,,,,,,0.0,,
,,401167,654.0,,,,,,,,0.0,,
,,401244,654.0,,,,,,,,0.0,,
,,401518,654.0,,,,,,,,0.0,,
,,401985,666.0,,,,,,,,0.0,,
,,401159,677.0,,,,,,,,0.0,,
,,401929,677.0,,,,,,,,0.0,,
,,402086,677.0,,,,,,,,0.0,,
,,410475,677.0,,,,,,,,0.0,,
,,411028,677.0,,,,,,,,0.0,,
,,401159,680.0,,,,,,,,0.0,,
,,401929,680.0,,,,,,,,0.0,,
,,410475,680.0,,,,,,,,0.0,,
,,411028,680.0,,,,,,,,0.0,,
,,401159,682.0,,,,,,,,0.0,,
,,401929,682.0,,,,,,,,0.0,,
,,402086,682.0,,,,,,,,0.0,,
,,401159,683.0,,,,,,,,0.0,,
